Version,LineCount,Threads,Run,TaskClock,Cycles,Instructions,CacheMisses,ContextSwitches,MinorFaults,MajorFaults,ElapsedTime,CPUUtilization,MaxRSS,MaxCharTime
V0,10000,16,6,71.82,131884335,168248802,186359,0,4324,0,0.023980542,18.72,20792,0.002243
V0,10000,16,7,73.54,138123563,170274958,184662,0,4324,0,0.023364693,19.67,20792,0.002575
V0,10000,16,8,73.51,136461468,169514660,185242,0,4322,0,0.023971396,19.17,20788,0.002409
V0,10000,16,9,73.86,132633828,168585999,187557,0,4323,0,0.025156899,18.35,20724,0.002319
V0,10000,2,1,32.03,48342327,130691452,234867,0,4288,0,0.027103102,59.09,20784,0.004785
V0,10000,2,10,32.82,47056159,130466851,235414,0,4286,0,0.027736971,59.16,20788,0.004723
V0,10000,2,2,32.25,46920233,130556287,239078,0,4287,0,0.027348325,58.96,20788,0.004691
V0,10000,2,3,30.70,47810752,130795157,232854,0,4289,0,0.025616212,59.92,20788,0.004704
V0,10000,2,4,34.56,50077198,130903196,233955,0,4288,0,0.029578085,58.42,20788,0.004992
V0,10000,2,5,36.95,51506899,130871469,242812,0,4286,0,0.031544382,58.57,20784,0.005415
V0,10000,2,6,34.35,50536051,131125359,244718,0,4286,0,0.029226662,58.76,20784,0.005167
V0,10000,2,7,34.14,49441475,131158542,243196,0,4288,0,0.028745221,59.38,20788,0.005140
V0,10000,2,8,35.48,48350620,130597583,241049,0,4286,0,0.030284385,58.58,20784,0.005062
V0,10000,2,9,31.93,47788216,130843433,234279,0,4286,0,0.026974196,59.19,20784,0.004784
V0,10000,20,1,87.99,166815024,182617631,185719,0,4333,0,0.024979295,17.61,20792,0.002501
V0,10000,20,10,89.95,169233507,183747479,188626,0,4334,0,0.025236187,17.82,20632,0.002680
V0,10000,20,2,88.10,168681008,183189292,187422,0,4335,0,0.024353233,18.09,20792,0.002540
V0,10000,20,3,87.06,165721814,181514026,187787,0,4335,0,0.023682377,18.38,20792,0.002447
V0,10000,20,4,87.80,167025188,182729729,185873,0,4334,0,0.024873524,17.65,20792,0.002458
V0,10000,20,5,85.23,164898871,181842434,183566,0,4333,0,0.022956620,18.56,20788,0.002423
V0,10000,20,6,87.09,165974430,181681668,190916,0,4333,0,0.024565806,17.73,20788,0.002470
V0,10000,20,7,86.97,166540652,182300113,188467,0,4335,0,0.023692956,18.35,20792,0.002506
V0,10000,20,8,87.84,166035007,181762864,190826,0,4334,0,0.025513300,17.21,20792,0.002474
V0,10000,20,9,90.74,174358151,185924294,191604,0,4335,0,0.024374266,18.61,20788,0.002679
V0,10000,4,1,36.52,58912786,136399811,211570,0,4291,0,0.024626072,37.07,20784,0.003164
V0,10000,4,10,35.76,57194687,135226246,212400,0,4291,0,0.024898289,35.91,20788,0.002950
V0,10000,4,2,36.42,56282506,135152897,208313,0,4290,0,0.025678952,35.46,20788,0.002872
V0,10000,4,3,33.91,57331563,135459610,206249,0,4292,0,0.023337617,36.33,20784,0.002751
V0,10000,4,4,35.87,56864102,135090800,212459,0,4290,0,0.025296655,35.45,20784,0.002885
V0,10000,4,5,34.19,56985679,135247682,211233,0,4292,0,0.023510725,36.36,20784,0.002803
V0,10000,4,6,36.85,56939669,135162704,211598,0,4292,0,0.025787069,35.73,20784,0.003005
V0,10000,4,7,36.90,62251853,137782743,211013,0,4292,0,0.024645085,37.43,20788,0.003413
V0,10000,4,8,37.22,56877756,135281509,212554,0,4291,0,0.026235932,35.47,20788,0.002913
V0,10000,4,9,34.87,58049454,135973124,211077,0,4291,0,0.023820288,36.60,20788,0.002901
V0,10000,8,1,45.85,79081511,145800268,203590,0,4300,0,0.023729175,24.15,20788,0.002254
V0,10000,8,10,44.10,75822717,144303941,200305,0,4299,0,0.023802688,23.16,20788,0.002062
V0,10000,8,2,47.48,78988955,145714683,200879,0,4300,0,0.024853929,23.88,20784,0.002353
V0,10000,8,3,44.15,77324329,145422886,198628,0,4298,0,0.022948612,24.05,20784,0.002140
V0,10000,8,4,45.34,78216029,145132717,201929,0,4300,0,0.023457870,24.16,20788,0.002164
V0,10000,8,5,47.44,78918990,145643206,203167,0,4301,0,0.024274300,24.43,20784,0.002292
V0,10000,8,6,44.39,78479943,145186857,199817,0,4300,0,0.023644701,23.47,20788,0.002149
V0,10000,8,7,45.88,77929990,145245173,202933,0,4298,0,0.024282550,23.62,20788,0.002110
V0,10000,8,8,47.39,79231997,145604095,201352,0,4299,0,0.024910544,23.78,20784,0.002315
V0,10000,8,9,47.08,81802601,147304729,204011,0,4298,0,0.023875308,24.65,20784,0.002356
V0,1000,1,1,4.56,4222703,12697382,1133,0,475,0,0.005342839,85.35,11040,0.000829
V0,1000,1,10,4.28,4122559,12697353,166,0,475,0,0.004930054,86.81,11040,0.000830
V0,1000,1,2,3.73,4163392,12697370,555,0,476,0,0.004380735,85.15,11040,0.000738
V0,1000,1,3,4.29,4220396,12697355,406,0,476,0,0.004938857,86.86,10880,0.000885
V0,1000,1,4,4.05,4102032,12697353,164,0,475,0,0.004739517,85.45,11040,0.000807
V0,1000,1,5,3.75,4157282,12697379,274,0,476,0,0.004354921,86.11,10880,0.000813
V0,1000,1,6,3.64,4150335,12697394,160,0,478,0,0.004282114,85.00,10880,0.000740
V0,1000,1,7,4.13,4190831,12697360,254,0,477,0,0.004687622,88.10,10880,0.000766
V0,1000,1,8,3.62,4051899,12697360,101,0,477,0,0.004211261,85.96,10880,0.000738
V0,1000,1,9,4.10,4141051,12697367,203,0,476,0,0.004729029,86.70,11040,0.000780
V0,1000,16,1,23.80,41188230,29344603,14793,0,509,0,0.006608564,22.51,11200,0.001977
V0,1000,16,10,19.30,33348545,25955126,15276,0,507,0,0.005456248,22.11,11040,0.001268
V0,1000,16,2,23.08,40192654,28830695,14625,0,507,0,0.006439245,22.40,11040,0.001900
V0,1000,16,3,22.08,37923274,27936342,14930,0,507,0,0.006366031,21.68,10880,0.001759
V0,1000,16,4,23.69,40934421,29191333,14820,0,506,0,0.006458921,22.92,11040,0.001933
V0,1000,16,5,20.43,37085903,27503885,14777,0,509,0,0.005113068,24.97,10880,0.001217
V0,1000,16,6,22.83,40212841,28994586,15155,0,508,0,0.006263759,22.78,11040,0.001844
V0,1000,16,7,20.03,35650145,26892637,14810,0,509,0,0.005373512,23.30,11040,0.001309
V0,1000,16,8,19.80,33863873,26138568,15266,0,506,0,0.005798269,21.34,11040,0.001317
V0,1000,16,9,19.99,34752402,26566398,14972,0,506,0,0.005950972,20.99,10880,0.001567
V0,1000,2,1,5.78,5982644,13313674,14932,0,477,0,0.005410066,53.42,11200,0.001285
V0,1000,2,10,5.57,5793991,13303395,14963,0,479,0,0.005309442,52.45,11040,0.001143
V0,1000,2,2,5.63,6006482,13341368,14936,0,478,0,0.005240630,53.71,11200,0.001207
V0,1000,2,3,5.51,6314605,13462617,14710,0,477,0,0.005253994,52.44,10880,0.001000
V0,1000,2,4,4.88,6276415,13402203,14853,0,477,0,0.004609301,52.94,11040,0.000814
V0,1000,2,5,5.46,6228762,13367544,14697,0,477,0,0.005233528,52.16,10720,0.001272
V0,1000,2,6,5.73,6218295,13359314,14799,0,478,0,0.005533901,51.77,11040,0.001295
V0,1000,2,7,5.18,6181999,13385307,14537,0,479,0,0.004920503,52.64,11040,0.001149
V0,1000,2,8,5.84,5825156,13232077,14955,0,478,0,0.005595667,52.18,10880,0.001168
V0,1000,2,9,5.43,5911243,13288176,14822,0,479,0,0.005134997,52.87,11040,0.001173
V0,1000,20,1,27.57,51106142,33916413,14473,0,517,0,0.005989069,23.02,10880,0.001891
V0,1000,20,10,24.81,45258390,31460866,15121,0,514,0,0.005680635,21.84,10880,0.001709
V0,1000,20,2,25.32,44915981,31280164,15027,0,516,0,0.006071730,20.85,11040,0.001707
V0,1000,20,3,27.85,51303830,33979280,14461,0,515,0,0.006206801,22.44,10880,0.001941
V0,1000,20,4,27.48,50929823,34198182,15028,0,514,0,0.005939119,23.13,10880,0.001797
V0,1000,20,5,24.04,43193124,30516423,15060,0,516,0,0.005828695,20.62,11040,0.001594
V0,1000,20,6,24.45,44719168,31259563,15011,0,516,0,0.005587389,21.88,10880,0.001611
V0,1000,20,7,27.53,50672564,33575104,14679,0,515,0,0.005934386,23.20,11040,0.001787
V0,1000,20,8,25.71,46539903,32105064,15043,0,514,0,0.005931833,21.67,10880,0.001680
V0,1000,20,9,25.76,47512457,32312200,14769,0,515,0,0.005821875,22.12,10720,0.001795
V0,1000,4,1,5.88,8209558,14380661,15045,0,481,0,0.004581452,32.09,11040,0.000912
V0,1000,4,10,6.66,9736820,14921251,14731,0,482,0,0.005212588,31.94,11040,0.001131
V0,1000,4,2,6.79,8329739,14419372,14942,0,482,0,0.005029873,33.75,11040,0.000985
V0,1000,4,3,6.45,8366154,14443805,15234,0,483,0,0.005076332,31.77,10880,0.000947
V0,1000,4,4,6.50,8240436,14451208,15027,0,480,0,0.004889943,33.23,11040,0.001030
V0,1000,4,5,6.59,8947762,14767207,15214,0,481,0,0.005042982,32.67,11040,0.001024
V0,1000,4,6,6.72,8412504,14474550,15056,0,481,0,0.005214763,32.22,11040,0.001017
V0,1000,4,7,6.53,8557359,14582577,15072,0,481,0,0.004785062,34.12,11040,0.000963
V0,1000,4,8,8.01,10849279,15480997,15012,0,482,0,0.005587146,35.84,10880,0.001388
V0,1000,4,9,11.29,19417185,19457364,14936,0,483,0,0.078292438,3.61,11040,0.001203
